Repeat,Model,Contamination,RMSE,MAE,R2
15,OLS,0.05,0.7441719302596663,0.5358354204462258,0.5773900583848175
15,Ridge,0.05,0.7441522129098267,0.5358316572666957,0.5774124527733578
15,LASSO,0.05,0.7402575649468714,0.5389465685118404,0.5818242460482188
15,Huber,0.05,0.7557378757410509,0.5174737747349641,0.5641515387079404
16,OLS,0.05,0.743609549099523,0.5328224755529726,0.5780285615455061
16,Ridge,0.05,0.7435912363947915,0.53281775146601,0.5780493448805668
16,LASSO,0.05,0.7401434793854827,0.5355656376608133,0.5819531312947542
16,Huber,0.05,0.758091012966504,0.5172447157727867,0.5614331147882827
17,OLS,0.05,0.7464651510624817,0.5363383786873002,0.57478143770143
17,Ridge,0.05,0.7464375711261971,0.5363313350996769,0.5748128585499136
17,LASSO,0.05,0.7404365651897409,0.5381853337660686,0.5816219850645786
17,Huber,0.05,0.7573088963195452,0.5176060848635515,0.5623375801235582
18,OLS,0.05,0.7487992310708698,0.5311984221957934,0.572118096134374
18,Ridge,0.05,0.7487705829718954,0.5311898376759223,0.57215083593467
18,LASSO,0.05,0.7423895575257856,0.5326945663958006,0.579412027637976
18,Huber,0.05,0.7590785822326043,0.5170770911517656,0.5602897236115132
19,OLS,0.05,0.7434942379881234,0.5310752917218463,0.578159421142245
19,Ridge,0.05,0.7434764949729448,0.5310693051721951,0.57817955481404
19,LASSO,0.05,0.7404023843608327,0.5339943878258897,0.5816606114046112
19,Huber,0.05,0.7559241141166252,0.513671477562947,0.5639366977856914
20,OLS,0.05,0.7459802894404087,0.5303969862872806,0.5753336542453893
20,Ridge,0.05,0.7459551605459254,0.5303893979889985,0.5753622641596383
20,LASSO,0.05,0.7407334995106167,0.5319708512268948,0.5812863568488333
20,Huber,0.05,0.7605761525286053,0.5173191681918403,0.5585530216896362
21,OLS,0.05,0.7500530236850966,0.5353311112173784,0.5706840019561176
21,Ridge,0.05,0.7500268509339323,0.5353271775128703,0.5707139629972406
21,LASSO,0.05,0.7438578964414423,0.5378968327861373,0.5777466582676551
21,Huber,0.05,0.7608272791796784,0.5176735412161769,0.5582614600817107
22,OLS,0.05,0.742633682829941,0.5320849772057299,0.5791353722149366
22,Ridge,0.05,0.7426110671057251,0.5320765033231772,0.5791610053464363
22,LASSO,0.05,0.7384224047605346,0.5338153826446925,0.5838950610790983
22,Huber,0.05,0.7575230178705753,0.5169613258949938,0.5620900557518529
23,OLS,0.05,0.7508339979721177,0.531050719989063,0.5697895070380413
23,Ridge,0.05,0.7507992288602101,0.5310385427706789,0.5698293499073859
23,LASSO,0.05,0.7434004724513158,0.5320279436144323,0.578265815010889
23,Huber,0.05,0.7600391571125331,0.5170296617418999,0.5591761580267992
24,OLS,0.05,0.7420811761902982,0.537656576519273,0.57976137129706
24,Ridge,0.05,0.7420581505058178,0.5376476247180942,0.5797874496622337
24,LASSO,0.05,0.7383144810371511,0.5398516551027692,0.5840166833709318
24,Huber,0.05,0.7582234972123383,0.5174319575516081,0.5612798131949144
25,OLS,0.05,0.7469752984497605,0.5373110181951386,0.5742000354399788
25,Ridge,0.05,0.746943906198545,0.53729887355699,0.5742358238753045
25,LASSO,0.05,0.7404145316138582,0.5386256432401338,0.5816468845009791
25,Huber,0.05,0.7586604323683127,0.5175950947545489,0.5607740322308248
26,OLS,0.05,0.7446361317614764,0.5336966486425863,0.5768626604886087
26,Ridge,0.05,0.7446116788373246,0.5336893713222854,0.5768904506398977
26,LASSO,0.05,0.7396550753432961,0.5357825847927049,0.5825046687214298
26,Huber,0.05,0.7588421905930786,0.5175752394468724,0.5605635494064494
27,OLS,0.05,0.745409165516902,0.5361717070724416,0.5759836560472201
27,Ridge,0.05,0.7453842012180132,0.5361605110596818,0.5760120568074458
27,LASSO,0.05,0.7408423179939326,0.5386911986062115,0.5811633243940384
27,Huber,0.05,0.7603854674068263,0.5171440832975164,0.5587743455332106
28,OLS,0.05,0.7476809294855122,0.5367213730536615,0.5733951906627195
28,Ridge,0.05,0.7476478273362951,0.5367059384536811,0.5734329640574832
28,LASSO,0.05,0.7405650966719826,0.5373512997526503,0.5814767209966714
28,Huber,0.05,0.7591337682579585,0.5175579245409702,0.5602257862403119
29,OLS,0.05,0.7454620077287369,0.5324393344529922,0.5759235367015323
29,Ridge,0.05,0.7454395722781277,0.5324330164746197,0.5759490623575045
29,LASSO,0.05,0.7408999559805164,0.5351449164408069,0.5810981503585075
